,level,Overall,No,Yes,p,test
n,,14541,13546,995,,
Diuretic (%),Yes, 1322 ( 9.1) , 1154 ( 8.5) ,168 (16.9) ,<0.001,
,No,13219 (90.9) ,12392 (91.5) ,827 (83.1) ,,
PPI (%),Yes, 1420 ( 9.8) , 1233 ( 9.1) ,187 (18.8) ,<0.001,
,No,13121 (90.2) ,12313 (90.9) ,808 (81.2) ,,
Alcoholism (%),Yes, 2582 (17.8) , 2443 (18.0) ,139 (14.0) ,0.001,
,No,11959 (82.2) ,11103 (82.0) ,856 (86.0) ,,
eGFR (%),0, 7457 (51.3) , 7211 (53.2) ,246 (24.7) ,<0.001,
,1, 5529 (38.0) , 5024 (37.1) ,505 (50.8) ,,
,2, 1555 (10.7) , 1311 ( 9.7) ,244 (24.5) ,,
