,level,Overall,Low,Medium,High,p,test
n,,14541,10951,2402,1188,,
Age (mean (SD)),,  50.70 (17.21),  46.05 (15.83),  62.70 (13.58),  69.25 (10.42),<0.001,
Sex(%),Male,   7656 (52.7) ,   5549 (50.7) ,   1400 (58.3) ,    707 (59.5) ,<0.001,
,Female,   6885 (47.3) ,   5402 (49.3) ,   1002 (41.7) ,    481 (40.5) ,,
Race (%),Mexican American,   2473 (17.0) ,   2156 (19.7) ,    227 ( 9.5) ,     90 ( 7.6) ,<0.001,
,Other Hispanic,   1200 ( 8.3) ,   1009 ( 9.2) ,    148 ( 6.2) ,     43 ( 3.6) ,,
,Non-Hispanic white,   7440 (51.2) ,   5331 (48.7) ,   1386 (57.7) ,    723 (60.9) ,,
,Non-Hispanic black,   2721 (18.7) ,   1842 (16.8) ,    568 (23.6) ,    311 (26.2) ,,
,Other,    707 ( 4.9) ,    613 ( 5.6) ,     73 ( 3.0) ,     21 ( 1.8) ,,
Marital_status (%),Married,   9088 (62.5) ,   6494 (59.3) ,   1698 (70.7) ,    896 (75.4) ,<0.001,
,unMarried,   5453 (37.5) ,   4457 (40.7) ,    704 (29.3) ,    292 (24.6) ,,
BMI (mean (SD)),,  29.02 (6.65),  28.67 (6.56),  29.74 (6.68),  30.83 (6.98),<0.001,
Educational_level (%),Below high school,   3724 (25.6) ,   2660 (24.3) ,    679 (28.3) ,    385 (32.4) ,<0.001,
,High school,   3446 (23.7) ,   2519 (23.0) ,    627 (26.1) ,    300 (25.3) ,,
,Above high school,   7371 (50.7) ,   5772 (52.7) ,   1096 (45.6) ,    503 (42.3) ,,
Stroke (%),Yes,    556 ( 3.8) ,    210 ( 1.9) ,    171 ( 7.1) ,    175 (14.7) ,<0.001,
,No,  13985 (96.2) ,  10741 (98.1) ,   2231 (92.9) ,   1013 (85.3) ,,
Hypertension (%),Yes,   5219 (35.9) ,   2868 (26.2) ,   1383 (57.6) ,    968 (81.5) ,<0.001,
,No,   9322 (64.1) ,   8083 (73.8) ,   1019 (42.4) ,    220 (18.5) ,,
Diabetes (%),Yes,   1760 (12.1) ,    910 ( 8.3) ,    455 (18.9) ,    395 (33.2) ,<0.001,
,No,  12781 (87.9) ,  10041 (91.7) ,   1947 (81.1) ,    793 (66.8) ,,
PIR (%),Close to poverty,   5975 (41.1) ,   4321 (39.5) ,   1052 (43.8) ,    602 (50.7) ,<0.001,
,Poor,   2646 (18.2) ,   2021 (18.5) ,    414 (17.2) ,    211 (17.8) ,,
,Rich,   5920 (40.7) ,   4609 (42.1) ,    936 (39.0) ,    375 (31.6) ,,
TG (mean (SD)),,   1.78 (1.44),   1.75 (1.45),   1.87 (1.46),   1.87 (1.22),<0.001,
TC (mean (SD)),, 196.67 (42.49), 198.34 (41.98), 195.80 (43.42), 183.08 (42.85),<0.001,
HbA1C (mean (SD)),,   5.71 (1.04),   5.61 (0.99),   5.94 (1.09),   6.15 (1.20),<0.001,
Magnesium (mean (SD)),, 294.52 (127.46), 300.53 (130.23), 285.59 (122.94), 257.22 (100.49),<0.001,
Calcium (mean (SD)),, 925.18 (500.96), 948.62 (509.97), 870.01 (471.21), 820.68 (451.31),<0.001,
Phosphorus (mean (SD)),,1335.27 (568.56),1366.53 (578.73),1274.16 (545.22),1170.65 (474.40),<0.001,
OP (%),No,  13546 (93.2) ,  10408 (95.0) ,   2108 (87.8) ,   1030 (86.7) ,<0.001,
,Yes,    995 ( 6.8) ,    543 ( 5.0) ,    294 (12.2) ,    158 (13.3) ,,
