"","level","Overall","No","Yes","p","test"
"n","","106900164.5","100190795.1","6709369.4","",""
"Diuretic (%)","Yes","7713744.6 (7.2)","6694295.9 (6.7)","1019448.7 (15.2)","<0.001",""
"","No","99186419.9 (92.8)","93496499.2 (93.3)","5689920.7 (84.8)","",""
"PPI (%)","Yes","10258325.9 (9.6)","9050517.1 (9.0)","1207808.8 (18.0)","<0.001",""
"","No","96641838.5 (90.4)","91140278.0 (91.0)","5501560.6 (82.0)","",""
"Alcoholism (%)","Yes","17548018.6 (16.4)","16689541.2 (16.7)","858477.4 (12.8)","0.011",""
"","No","89352145.9 (83.6)","83501253.9 (83.3)","5850891.9 (87.2)","",""
"eGFR (%)","0","56990140.6 (53.3)","55307502.6 (55.2)","1682638.0 (25.1)","<0.001",""
"","1","41518864.9 (38.8)","37951631.7 (37.9)","3567233.2 (53.2)","",""
"","2","8391159.0 (7.8)","6931660.8 (6.9)","1459498.2 (21.8)","",""
