"","GVIF","Df","GVIF^(1/(2*Df))"
"MDS1",1.55035680096586,1,1.2451332462696
"Age_group",1.47973886239884,1,1.21644517443198
"Gender",1.20447595117,1,1.097486196346
"Race",1.31783009283086,4,1.0351002835702
"PIR",1.17513346246173,2,1.04117036517994
"Marital_status",1.15161813075339,1,1.07313472162324
"BMI",1.15467042905739,1,1.0745559217916
"Stroke",1.0706640815847,1,1.03472898943863
"Hypertension",1.33640254412925,1,1.15602878170452
"Diabetes",1.66793762022476,1,1.29148659312621
"TG",1.26828106243325,1,1.12617985350176
"TC",1.2009132558836,1,1.0958618781049
"HbA1C",1.64973007061521,1,1.28441818369844
"MAGN",2.91658451859645,1,1.70780107699827
"CALC",2.89844258461838,1,1.70248130228158
"PHOS",5.26391959132066,1,2.29432334062151
